name, order, ra, dec, slopes[0], slopes[1],  slopes_sigma[0], slopes_sigma[1], change_point, change_point_sigma, log_marginal_likelihood
Source_RA:5d27m01.88604834s_DEC:-25d39m58.62082045s, 1, 5.450523902317433, -25.666283561236842, -0.3221973353219202, -0.234681333707831, 0.49357032092839465, 0.6669250719458846, [1.3125736647317103], [0.23562016601668173], 73.54171801262589
Source_RA:5d26m53.89917941s_DEC:-25d35m05.34158574s, 1, 5.4483053276143645, -25.58481710715025, -1.4473469012741693, -1.1609094786602108, 0.07957924023262129, 0.6924622238017885, [1.260949948560738], [0.25049914509162735], 75.79878745069904
Source_RA:5d25m27.41509069s_DEC:-25d40m23.36735318s, 1, 5.424281969636109, -25.673157598104964, -0.2310733151897789, 0.26749577254960305, 0.01350371225995463, 0.40915991142276603, [1.540322170514387], [0.03651261407333307], 73.17158894518035
Source_RA:5d25m23.25079666s_DEC:-25d26m18.24883947s, 1, 5.42312522129458, -25.438402455409438, -1.3583438724444383, -0.7319204095604769, 0.36773493152285197, 0.9375504384885414, [1.4018740761151893], [0.18294616470411132], 74.33526489774611
Source_RA:5d25m20.40980444s_DEC:-25d29m07.34317909s, 1, 5.422336056789492, -25.48537310530407, -0.8801900965955507, -0.5125701381708802, 0.17617511581927459, 0.8377396196570036, [1.405964931917641], [0.20191292017171505], 73.82769179457438
Source_RA:5d25m08.41695403s_DEC:-25d25m44.32530939s, 1, 5.41900470945258, -25.428979252608833, -0.6361040429170756, -0.21766226799838614, 0.3007272358773648, 0.9784263431121438, [1.3296024815421525], [0.24162442077361282], 71.82752205970424
Source_RA:5d24m49.12629096s_DEC:-25d44m23.03644902s, 1, 5.413646191933168, -25.739732346950422, -0.43319851325274145, -0.0130168418638956, 0.008756884499361885, 0.19136841317760422, [1.5455479714983342], [0.023927222879894804], 71.76893240221493
Source_RA:5d24m32.95203283s_DEC:-25d44m41.57779238s, 1, 5.409153342452795, -25.744882720104222, -0.9682464206784264, -0.317144463211364, 0.015293432894478603, 0.6272056625835118, [1.517717719717204], [0.08568584104765192], 72.91612882152252
Source_RA:5d23m39.99202532s_DEC:-25d55m01.38396237s, 1, 5.394442229254538, -25.917051100658608, -0.8338841095749975, -0.1608609306160086, 0.18009975377210755, 1.0928292549450247, [1.453224024268051], [0.16529935619722005], 71.35521458507746
Source_RA:5d23m29.96188185s_DEC:-26d17m19.35863563s, 1, 5.391656078292537, -26.288710732118517, -0.13659306896514406, 0.9432115562972747, 0.14515647225670766, 1.0620488400460977, [1.4547960530960455], [0.1630774370542528], 68.12370104060214
